"","Month","Titer","Density","run"
"1",1,1,0.000259029694192782,1
"2",2,1,0.00064699758129263,1
"3",3,1,0.00116271102557397,1
"4",4,1,0.00154580157948993,1
"5",5,1,0.00173068461548506,1
"6",6,1,0.00178234574240971,1
"7",7,1,0.00176654081450737,1
"8",8,1,0.00174937276295045,1
"9",9,1,0.00173229657542961,1
"10",10,1,0.00171691758144052,1
"11",11,1,0.00170519234345524,1
"12",12,1,0.00169957811703884,1
"13",1,2,0.000259029694192782,1
"14",2,2,0.000636127693320975,1
"15",3,2,0.00112816336526864,1
"16",4,2,0.00147374133372013,1
"17",5,2,0.00161785489408186,1
"18",6,2,0.00163602957578922,1
"19",7,2,0.00159926268626252,1
"20",8,2,0.00157567102508651,1
"21",9,2,0.00156710910265911,1
"22",10,2,0.00157775235014226,1
"23",11,2,0.00161392484337255,1
"24",12,2,0.00168360614373085,1
"25",1,3,0.000129514847096391,1
"26",2,3,0.000341349016969797,1
"27",3,3,0.000640908881454516,1
"28",4,3,0.000903253610550191,1
"29",5,3,0.00108349937131733,1
"30",6,3,0.00120308099733208,1
"31",7,3,0.00129628263756013,1
"32",8,3,0.00140987186541282,1
"33",9,3,0.0015686393985434,1
"34",10,3,0.00179968459340987,1
"35",11,3,0.00212883109529402,1
"36",12,3,0.00257728632402467,1
"37",1,4,0.000323787117740976,1
"38",2,4,0.000790526115916802,1
"39",3,4,0.00139340236914368,1
"40",4,4,0.00181003938153599,1
"41",5,4,0.00199768093593671,1
"42",6,4,0.00210400053771324,1
"43",7,4,0.00229240824488785,1
"44",8,4,0.00272722312771105,1
"45",9,4,0.00347231663294769,1
"46",10,4,0.00456041967557093,1
"47",11,4,0.00598667893867458,1
"48",12,4,0.00771243671065419,1
"49",1,5,0.000129514847096391,1
"50",2,5,0.000316984964655967,1
"51",3,5,0.000599295865076873,1
"52",4,5,0.000976114726125511,1
"53",5,5,0.00166807004317871,1
"54",6,5,0.00301577680128306,1
"55",7,5,0.00528294951843904,1
"56",8,5,0.00854209835982326,1
"57",9,5,0.0126148053570834,1
"58",10,5,0.0171711959762228,1
"59",11,5,0.0218350557268526,1
"60",12,5,0.0262733238023407,1
"61",1,6,0,1
"62",2,6,0.000160868668611236,1
"63",3,6,0.00116168843855844,1
"64",4,6,0.00426758902455205,1
"65",5,6,0.0106819943010247,1
"66",6,6,0.0206656205672512,1
"67",7,6,0.0330413152683924,1
"68",8,6,0.0456583389006391,1
"69",9,6,0.0563852440794977,1
"70",10,6,0.0638876135307487,1
"71",11,6,0.0678343853147668,1
"72",12,6,0.0686348846653925,1
"73",1,7,6.47574235481952e-05,1
"74",2,7,0.000472145148683386,1
"75",3,7,0.00199810703563022,1
"76",4,7,0.00507217435329844,1
"77",5,7,0.0093588796374185,1
"78",6,7,0.0135578909550427,1
"79",7,7,0.0161904225642635,1
"80",8,7,0.0165447203987098,1
"81",9,7,0.0148886593843801,1
"82",10,7,0.0120936195879286,1
"83",11,7,0.00904718675647753,1
"84",12,7,0.0063318729052497,1
"85",1,8,0.000129514847096391,1
"86",2,8,0.00123483296037049,1
"87",3,8,0.00419526305056924,1
"88",4,8,0.00886442382732467,1
"89",5,8,0.013861998305952,1
"90",6,8,0.0171785273018564,1
"91",7,8,0.0177178925884719,1
"92",8,8,0.0157777097580688,1
"93",9,8,0.0124995595062013,1
"94",10,8,0.00904541845474358,1
"95",11,8,0.00609941146404925,1
"96",12,8,0.00388827278820445,1
"97",1,9,0.000259029694192782,1
"98",2,9,0.00283501405753576,1
"99",3,9,0.00763782182743547,1
"100",4,9,0.0137092391537276,1
"101",5,9,0.0181713486029677,1
"102",6,9,0.0191221707306876,1
"103",7,9,0.0168782775908333,1
"104",8,9,0.0129474664434067,1
"105",9,9,0.00897427273699259,1
"106",10,9,0.00577487722576676,1
"107",11,9,0.00351212155066566,1
"108",12,9,0.00204321800616572,1
"109",1,10,0.00233126724773503,1
"110",2,10,0.00770227788078045,1
"111",3,10,0.0147145316397327,1
"112",4,10,0.0202108768812702,1
"113",5,10,0.0212990144881205,1
"114",6,10,0.0183414454583959,1
"115",7,10,0.0134635808714302,1
"116",8,10,0.00878680668761054,1
"117",9,10,0.00531897492353902,1
"118",10,10,0.00305221101862206,1
"119",11,10,0.00168183283854709,1
"120",12,10,0.000897315481800112,1
"121",1,11,0.00634622750772313,1
"122",2,11,0.0140199421623378,1
"123",3,11,0.0222477701251098,1
"124",4,11,0.0243464110432168,1
"125",5,11,0.0204362819959006,1
"126",6,11,0.014207800786899,1
"127",7,11,0.00837635339545634,1
"128",8,11,0.00466491123546588,1
"129",9,11,0.00249268165718694,1
"130",10,11,0.00129001422849187,1
"131",11,11,0.000650532374879424,1
"132",12,11,0.000321012202415151,1
"133",1,12,0.00479204934256645,1
"134",2,12,0.00979266858627366,1
"135",3,12,0.0148464659310966,1
"136",4,12,0.0151139860468166,1
"137",5,12,0.0115731474307096,1
"138",6,12,0.00721737445833362,1
"139",7,12,0.00368389774899868,1
"140",8,12,0.00182891792491722,1
"141",9,12,0.00088766359634638,1
"142",10,12,0.000422558609968233,1
"143",11,12,0.000197761635709774,1
"144",12,12,9.11663723802234e-05,1
"145",1,13,0.00200748012999406,1
"146",2,13,0.00396410096117625,1
"147",3,13,0.00589124390017015,1
"148",4,13,0.00579377680128636,1
"149",5,13,0.00423204449785554,1
"150",6,13,0.00248203681608677,1
"151",7,13,0.00115154009047756,1
"152",8,13,0.000526441847598714,1
"153",9,13,0.000237041974879462,1
"154",10,13,0.000105200829111158,1
"155",11,13,4.60728247593475e-05,1
"156",12,13,1.99372068805334e-05,1
"157",1,14,0.000518059388385562,1
"158",2,14,0.0010153087564301,1
"159",3,14,0.00149861511238779,1
"160",4,14,0.0014564185552083,1
"161",5,14,0.00104288491285436,1
"162",6,14,0.000592508486300789,1
"163",7,14,0.000259053364878819,1
"164",8,14,0.000110406580636973,1
"165",9,14,4.61715420462587e-05,1
"166",10,14,1.90284734635513e-05,1
"167",11,14,7.75145644434816e-06,1
"168",12,14,3.12791203288435e-06,1
"169",1,15,0.000129514847096391,1
"170",2,15,0.000241913848087988,1
"171",3,15,0.000348020946548407,1
"172",4,15,0.000322298543835163,1
"173",5,15,0.000215698710886533,1
"174",6,15,0.000111726205747225,1
"175",7,15,4.10962970731089e-05,1
"176",8,15,1.51157369214293e-05,1
"177",9,15,5.55975888220281e-06,1
"178",10,15,2.04494951115558e-06,1
"179",11,15,7.5215824854595e-07,1
"180",12,15,2.76657900072715e-07,1
"181",1,1,0.000518059388385563,2
"182",2,1,0.00129103321190378,2
"183",3,1,0.00231193359347952,2
"184",4,1,0.00305675382940309,2
"185",5,1,0.0033966138328557,2
"186",6,1,0.00347339956929915,2
"187",7,1,0.00344164730265871,2
"188",8,1,0.00346945477180662,2
"189",9,1,0.00360867956668058,2
"190",10,1,0.00392131576317336,2
"191",11,1,0.00447253677437596,2
"192",12,1,0.00532104504751653,2
"193",1,2,0.000518059388385563,2
"194",2,2,0.00125454763652818,2
"195",3,2,0.00220599562553404,2
"196",4,2,0.00285593798170889,2
"197",5,2,0.0031307819721535,2
"198",6,2,0.00323693536527862,2
"199",7,2,0.00339366831385381,2
"200",8,2,0.00383875780915465,2
"201",9,2,0.00468379583812989,2
"202",10,2,0.00602761466134204,2
"203",11,2,0.00792804440639442,2
"204",12,2,0.0103869576548596,2
"205",1,3,0.000259029694192781,2
"206",2,3,0.000711072505054971,2
"207",3,3,0.00136949451790605,2
"208",4,3,0.00201739825722667,2
"209",5,3,0.00264334396669564,2
"210",6,3,0.00346815596428225,2
"211",7,3,0.0048082293461167,2
"212",8,3,0.0069707697062013,2
"213",9,3,0.0100868270883718,2
"214",10,3,0.0141121421113333,2
"215",11,3,0.0188493674445544,2
"216",12,3,0.0240085729467364,2
"217",1,4,0.000647574235481952,2
"218",2,4,0.00154847865205781,2
"219",3,4,0.00275623940991002,2
"220",4,4,0.00392785690640608,2
"221",5,4,0.00555300349040352,2
"222",6,4,0.00852026234935565,2
"223",7,4,0.013386972592398,2
"224",8,4,0.020129950015527,2
"225",9,4,0.0280492392623002,2
"226",10,4,0.0362332796873427,2
"227",11,4,0.0438538305266394,2
